height_mm,phase_rad,s21_mag
2.0,1.0940932205494363,0.8630093415061924
2.25,0.8355311261001446,0.8816899841248249
2.5,0.5616751425595694,0.8996833143876075
2.75,0.2749245010538947,0.9095338244574547
3.0,-0.017770601112047868,0.9057274132143268
3.25,-0.3071858599126416,0.8878547682989523
3.5,-0.5857056542780807,0.8608129242760976
3.75,-0.8500174023894416,0.8317608300302528
4.0,-1.1012329453451688,0.80688436553072
4.25,-1.3434338863188986,0.7900327856763314
4.5,-1.582151231473638,0.7827901939077334
4.75,-1.8232359939829321,0.7849333792418283
5.0,-2.0720119732217848,0.7945965097242663
5.25,-2.3323385424220837,0.8082204725009634
5.5,-2.6054401138774166,0.8207056294153855
5.75,-2.888875599638052,0.8265106296630493
6.0,3.1065071230170846,0.8218777503648663
6.25,2.821851417253809,0.8068127670738509
6.5,2.5464475002472304,0.7850365054917026
6.75,2.282922251308418,0.7618722018808637
7.0,2.030322734122764,0.74201197515306
7.25,1.7851595984555337,0.7284460043782808
7.5,1.542706539499143,0.722464283318534
7.75,1.2978766980087735,0.7238054919357231
8.0,1.0462281043293133,0.730826979406526
