height_mm,phase_rad_wrapped,s21_mag,phase_rad_unwrapped,additional_phase_rad
2.0,1.0940932205494365,0.8630093415061924,1.0940932205494365,-0.0
2.25,0.8355311261001446,0.8816899841248249,0.8355311261001446,0.2585620944492919
2.5,0.5616751425595694,0.8996833143876075,0.5616751425595694,0.5324180779898671
2.75,0.2749245010538947,0.9095338244574548,0.2749245010538947,0.8191687194955417
3.0,-0.0177706011120478,0.9057274132143268,-0.0177706011120478,1.1118638216614842
3.25,-0.3071858599126416,0.8878547682989523,-0.3071858599126416,1.401279080462078
3.5,-0.5857056542780807,0.8608129242760976,-0.5857056542780807,1.6797988748275172
3.75,-0.8500174023894416,0.8317608300302528,-0.8500174023894416,1.944110622938878
4.0,-1.1012329453451688,0.80688436553072,-1.1012329453451688,2.1953261658946053
4.25,-1.3434338863188986,0.7900327856763314,-1.3434338863188986,2.437527106868335
4.5,-1.582151231473638,0.7827901939077334,-1.582151231473638,2.6762444520230746
4.75,-1.823235993982932,0.7849333792418283,-1.823235993982932,2.9173292145323684
5.0,-2.0720119732217848,0.7945965097242663,-2.0720119732217848,3.1661051937712212
5.25,-2.332338542422084,0.8082204725009634,-2.332338542422084,3.4264317629715206
5.5,-2.6054401138774166,0.8207056294153855,-2.6054401138774166,3.699533334426853
5.75,-2.888875599638052,0.8265106296630493,-2.888875599638052,3.9829688201874887
6.0,3.1065071230170846,0.8218777503648663,-3.1766781841625016,4.2707714047119385
6.25,2.821851417253809,0.8068127670738509,-3.4613338899257773,4.555427110475214
6.5,2.5464475002472304,0.7850365054917026,-3.736737806932356,4.830831027481793
6.75,2.282922251308418,0.7618722018808637,-4.000263055871168,5.094356276420604
7.0,2.030322734122764,0.74201197515306,-4.252862573056822,5.346955793606258
7.25,1.7851595984555335,0.7284460043782808,-4.498025708724053,5.592118929273489
7.5,1.542706539499143,0.722464283318534,-4.740478767680443,5.83457198822988
7.75,1.2978766980087737,0.7238054919357231,-4.985308609170812,6.079401829720249
8.0,1.0462281043293131,0.730826979406526,-5.236957202850273,6.331050423399709
